,tweets,classification
0,power super typhoon head philippin c4new,situational_update
1,inaasahang papasok par buka madal araw umaga super typhoon bantaybagyo wag namannnn,situational_update
2,crowdsourc map evacu center crisi area relief drop zone area relat typhoon haiyan,situational_update
3,inaasahang papasok par buka madal araw umaga super typhoon bantaybagyo,situational_update
4,super typhoon haiyan pose threat philippin,situational_update
5,haiyan name yolanda enter par tomorrow landfal friday updat typhoon unifi hashtag,situational_update
6,super typhoon haiyan strong larg storm threaten dens popul area cnn yolandaph,situational_update
7,lgu salcedo e samar prepar relief good help thing use super typhoon yolanda strike,donation
8,categori 5 typhoon haiyan suppos hit philippin 2448 hour peak wind 160mphstay safe,situational_update
9,palac govt agenc heighten alert super typhoon yolanda,situational_update
10,recent satellit imag typhoon haiyan equival categori 5 hurrican,situational_update
11,super typhoon haiyan peak wsatellit estim 7577 155 knot high end cat 5,situational_update
12,t yolanda develop super typhoon 200kph landfal friday morn,situational_update
13,400 pm today eye typhoon intern haiyan locat base avail data,situational_update
14,super typhoon haiyan time local line indic approxim timeloc center storm yolandaph cnn,situational_update
15,walangpasok class cebu bohol albay super typhoon yolandaph,situational_update
16,super typhoon line indic approxim timeloc center storm yolandaph cnn,situational_update
17,15 probinsya luzon visaya kabilang metro manila posibleng maapektuhan itinutur nang super typhoon j,situational_update
18,philippin issu highest alert level super typhoon hit countri,situational_update
19,sever weather bulletin 1 tropic cyclon warn typhoon haiyan issu 1100pm,situational_update
20,updat bagyong yolanda super typhoon w gust 230 kph signal 1 hoist,situational_update
21,supertyphoon w 150mph wind track philippin arriv 4th megastorm yr haiyan yolandaph,situational_update
22,super typhoon pray store food batteri check hous prepar safe,situational_update
23,track super typhoon haiyan imag updat 900 pm 6 nov 2013,situational_update
24,sever weather bulletin 1 tropic cyclon warn typhoon yolandaph haiyan issu 1100pm 06 novemb,situational_update
25,haiyan classifi categori 4 typhoon expect landfal 8 nov latest flash updat situat,situational_update
26,super typhoon intens 13hour number 77 support 150160 knot high end categori 5,situational_update
27,info super typhoon mike aka rupe form nov5 1990 dissip nov18 1990 damag 220,situational_update
28,latest updat jtwc show super typhoon haiyan sustain wind 170 mph,situational_update
29,storm year 175mph super typhoon haiyan aim philippin,situational_update
30,super typhoon haiyan wind gust 333 kmh head philippin,situational_update
31,suspens class 1pm till tomorrowhop marinduqu safe super typhoon,situational_update
32,stay safe philippines38 area public storm signal 1 2 yolandaupd,situational_update
33,super typhoon haiyan hit categori 5 extrem threat philippin,situational_update
34,super typhoon 31w haiyan warn 16 yolanda,situational_update
35,incred super typhoon haiyan yolanda 175mph sustain wind landfal philippin friday,situational_update
36,mt 1km visibl imag super typhoon haiyan wind 175 mph think philippin,situational_update
37,super typhoon haiyan near philippin max sustain wind 175 mph w gust 205 mph,situational_update
38,infrar satellitetrack overlay super typhoon haiyan 175 mph wind near philippin htt,situational_update
39,red alert pray supertyphoon haiyan near philippin 150mph wind safeti,situational_update
40,info super typhoon haiyan categori 5,situational_update
41,categori 5 metro manila affect,situational_update
42,super typhoon yolanda storm signal accord pagasa nov 7 2013 super typhoon yolanda enter phil,situational_update
43,yolandaph bring heavi rain wide 600kilomet diamet affect sth luzon inc bicol region manila,situational_update
44,yolandaph haiyan storm signal 5am thursday nov 7,situational_update
45,super typhoon enter par thursday storm signal 4 rais,situational_update
46,sustain wind 170 mph super typhoon haiyan 1 strongest tropic cyclon basin,situational_update
47,sandakan hit typhoon haiyan rain heavili,situational_update
48,175 mph wind center super typhoon haiyan forecast hit central philippin 150 mph wind thu eve est,situational_update
49,work privat public compani suspend cebu im go home super typhoon come yolandaph,situational_update
50,super typhoon haiyan wind 175 gust 210mph ocean dark area eye,situational_update
51,coloma dswd readi p195mworth relief aid includ p3697m standbi fund entri super typhoon yolanda,donation
52,super typhoon 31w expect landfal friday phillipin island current categori 5,situational_update
53,super typhoon haiyan 175 mph gust 210 move philippin,situational_update
54,super typhoon haiyan equival categori 5 hurrican gust 205 mph hour,situational_update
55,sever weather bulletin 3 tropic cyclon warn typhoon yolandaph haiyan issu 1100am 07,situational_update
56,600 000 forc evacu typhoon haiyan chang cours way vietnam,situational_update
57,philippin wreck haiyan hungri survivor condemn loot food wait aid,call_for_action
58,share aid desper need philippin,call_for_action
59,norway give 20 million philippin victim super typhoon haiyan,donation
60,typhoon haiyan current head nnw 74 mph wind,situational_update
61,death super typhoon haiyan leaf 10 000 bodi lie street philippin citi news sanfrancisco,situational_update
62,typhoon haiyan 80 marin station okinawa japan deploy philippin help,call_for_action
63,philippin need signific aid typhoon haiyan uk minist alan duncan tell,call_for_action
64,militari speed aid philippin typhoon haiyan victim,situational_update
65,plsfollow donat help philippin recov haiyan,donation
66,bo mt typhoon haiyan relief recoveri action fee waiv donat,donation
67,philippin storm kill estim 10 0 destruct hamper rescu effort,situational_update
68,map typhoon haiyan 205n 1073e landfal 102100z analysi vi,situational_update
69,greatest need filipino affect typhoon haiyan food water help,call_for_action
70,horrend scene philippines1000 fear dead typhoon love peopl heartbreak,emotional_support
71,verifi legit way help super typhoon haiyan yolanda victim donat volunt,donation
72,super typhoon haiyan yolanda relief effort count contribut orpl,situational_update
73,stand today help fellow filipino affect yolanda,situational_update
74,verifi legit way help super typhoon yolanda victim donat volunt legitim organ,donation
75,yolandaph haiyan verifi way help typhoon victim donatevolunt legitim organ,donation
76,help share andverifi legit way help super typhoon yolanda victim,donation
77,happen super typhoon haiyan yolanda hit visaya region philippin,situational_update
78,countless way care devast yolandaph donat,donation
79,verifi legit way help super typhoon haiyan yolanda victim manila,donation
80,tip point super tornad typhoon haiyan yolanda latest mega storm new greenhous warm high co2 normal,situational_update
81,philippin readi landfal typhoon haiyan manila nov 6 upi filipino offici said upi,situational_update
82,weather advisori 2 typhoon haiyan issu 1030 06 novemb 2013 eye typhoon,situational_update
83,cat 5 typhoon haiyan bear palau updat 3 117 link 509,situational_update
84,yolanda super typhoon stronger pablo yolandaupd,situational_update
85,jwtc latest power super typhoon haiyan yolandaph wind 140kt 161mph gust 170kt 196mph,situational_update
86,tomorrow thursday friday socal super typhoon come philippin possibl signal 4 prayforthephilippin,situational_update
87,super typhoon hit philippin soon know import hotlin rememb safeti stay safe guy,situational_update
88,kayangel rep palau direct hit super typhoon haiyan satellit,situational_update
89,5 way tie super typhoon haiyan tie strongest storm planet year 260kph162mph cnn htt,situational_update
90,list emerg number evacu center super typhoon yolanda haiyan biliran,situational_update
91,class thursday til friday happi scare super typhoon let pray,situational_update
92,super typhoon hit phil specif visaya region tomorrow,situational_update
93,sst 2930c deep ocean heat content mean haiyan remain super typhoon landfal,situational_update
94,brace super typhoon strongest hit countri year hasnt countri seen year pray,emotional_support
95,hi philippin there super typhoon come countri tomorrow safe,situational_update
96,class resum aftershock right away felt class suspend upcom super typhoon,situational_update
97,dear god protect super typhoon esp visaya arealet harm come peopl love,emotional_support
98,super typhoon signal number 4 safe,situational_update
99,grabe super typhoon buka signal 4,situational_update
100,super typhoon way philippinesarghh,situational_update
101,typhoon yolanda strong safe guy goawayyolandabitch super typhoon,situational_update
102,dr master say categori 5 super typhoon haiyan head philippin,situational_update
103,mt haiyan 5th super typhoon 2013 westpac season 2nd landfal philippin,situational_update
104,super typhoon yulanda enter philippin area re,situational_update
105,wow super typhoon haiyan look fearsom 140 knot sustain wind 155 knot satellit feel bad philippin,situational_update
106,super typhoon said categori 5 highest continu pray everyon safeti,emotional_support
107,potenti disast head philippin haiyan super typhoon bear friday,situational_update
108,oh great super typhoon head bigger total land mass countri,situational_update
109,omg super typhoon samar 3,situational_update
110,supertyphoon haiyan bagyong yolanda lalo pang lumaka papalapit philippin area respons,situational_update
111,super typhoon haiyan tie strongest storm planet year 260kph162mph cnn photo,situational_update
112,weather news super typhoon haiyan head philippin sweep palau micronesia,situational_update
113,monster cat 5 super typhoon haiyan buzzsaw philippin wind sustain 170 mph,situational_update
114,super typhoon haiyan eye philippin pack max sustain wind 160mph,situational_update
115,whoart super typhoon hit categori 5 path philippin,situational_update
116,photo shortformblog typhoonhaiyanit current level 5 statu top 160 mph,situational_update
117,weather updat nation hurrican center categori 5 hurricanetyphoon like yolanda haiyan caus,situational_update
118,super typhoon haiyan world strongest tropic system 2013 season,situational_update
119,imag super typhoon haiyan wind gust 330kmhr best eyewal possibl,situational_update
120,novemb 7 2013 super typhoon yolanda signal number 2,situational_update
121,super typhoon rage philippin,situational_update
122,haiyan world super typhoon near philippin yolanda local,situational_update
123,super typhoon haiyan categori 5 storm par central philippin liter pummel,situational_update
124,super typhoon haiyan western pacif stronger cyclon australia r,situational_update
125,super typhoon haiyan strongest storm 2013 wind increas 280kph170mph gust 330kph205mph c,situational_update
126,storm year 175mph super typhoon haiyan aim philippin oh prayer,emotional_support
127,good news class till monday bad news super typhoon come power gonna tvd tomorrow votearianagrand,situational_update
128,super typhoon forecast hit philippin,situational_update
129,typhoon haiyan signal 4,situational_update
130,good news class till monday bad news super typhoon come power gonna tvd tomorrow,situational_update
131,philippin island siquijor await super typhoon haiyan coastguard cancel boat,situational_update
132,mike clay sun visibl satellit pictur super typhoon haiyan cat 5 near philippin,situational_update
133,super typhoon haiyan strongest storm earth year roar philippin,situational_update
134,super typhoon haiyan yolanda updat haiyan yolanda extrem catastroph super typhoon,situational_update
135,super typhoon head philippin tomorrow prayer,emotional_support
136,haiyan yolanda extrem catastroph super typhoon consid power super typhoon 2013 omg,situational_update
137,philippin brace super typhoon strongest year,situational_update
138,haiyan known yolanda philippin like strongest storm form planet year,situational_update
139,super typhoon yolanda posit 1055 safeti yolandaph,situational_update
140,better geograph perspect super typhoon haiyan yolandaph gust 205mph near philippin,situational_update
141,there super typhoon enet philippin today,situational_update
142,evacu underway philippin island extrem danger cat 5 super typhoon haiyan head nnw,situational_update
143,philippin brace super typhoon strongest year manila reuter author ground ferri,situational_update
144,cebu provinc prepar immin threat super typhoon grab time buy emerg ratio,situational_update
145,philippin brace super typhoon strongest year reuter,situational_update
146,super typhoon yolanda class today tomorrow cancel spread word stay safe,situational_update
147,news5 typhoon track super typhoon yolanda nov 07 2013,situational_update
148,violent typhoon yolanda haiyan near landfal thu updat,situational_update
149,philippin brace super typhoon strongest year daili news analysi,situational_update
150,yolanda categori 5 super typhoon expert,situational_update
151,super typhoon haiyan eye philippin pack max sustain wind 160mph,situational_update
152,philippin brace super typhoon strongest year daili news analysi washington postphilippi,situational_update
153,half day today class tomorrow coz super typhoon prayforthephilippin,situational_update
154,malaysian insid philippin brace super typhoon strongest year author ground ferri,situational_update
155,philippin brace super typhoon strongest year daili news analysi sky news australiaphili,situational_update
156,philippin author ground ferri servic fish boat typhoon haiyan approach reuter,situational_update
157,yolandaph upgrad categori 5 super typhoon,situational_update
158,updat typhoon yolanda haiyan gain strength move closer philippin pagasa said,situational_update
159,philippin brace super typhoon strongest year manila reuter author gro,situational_update
160,philippin brace super typhoon strongest year environ,situational_update
161,typhoon move philipin super typhoon haiyan intensifi move island,situational_update
162,monster super typhoon predict pa southern mindoro island 3 roxa prayforthephilippin yolandaph,situational_update
163,break news philippin brace super typhoon strongest year,situational_update
164,philippin brace super typhoon strongest year author ground ferri servic call,situational_update
165,philippin brace super typhoon yolanda strongest year,situational_update
166,super typhoon enter east sea head vn,situational_update
167,philippin brace super typhoon strongest year gma news,situational_update
168,reuter world philippin brace super typhoon strongest year,situational_update
169,super typhoon yolanda larger island mindanao brace,situational_update
170,cebu pacif air ceb advisori novemb 7 2013 1100am typhoon yolanda haiyan cebu pacif,situational_update
171,eye super typhoon haiyan incred welldefin continu strengthen enter,situational_update
172,news philippin brace super typhoon yolandaph strongest year,situational_update
173,typhoon race philippin biggest year travel asia,situational_update
174,class level week super typhoon yolanda jess,situational_update
175,news philippin brace super typhoon yolandaph strongest year lord merci,situational_update
176,filipino hong collect money food help victim super typhoon haiyan,donation
